Rank,Title,Company,Location,Work_Type,Relevancy_Score,Salary,URL,Platform,Reasoning
13,Automations & Database Marketing Specialist (Go Auto Corporate - Mayfield (16830 107 Ave)),Go Auto,"Edmonton, AB",Unknown,77,,https://ca.indeed.com/viewjob?jk=8b1a2e475b8e4214,Indeed,marketing specialist; good skills overlap; specialist fits 5+ yrs; Ontario location
14,Digital Marketing Specialist,BGCBIGS,"Edmonton, AB T5H 1G1",Unknown,75,"$65,053–$71,807 a year",https://ca.indeed.com/viewjob?jk=56062bfe8fc4ca6e,Indeed,digital marketing specialist; some skills overlap; specialist fits 5+ yrs; Ontario location
15,Digital Marketing Coordinator (The Salvation Army Thrift Stores),The Salvation Army in Canada,"Greater Toronto Area, Canada (Hybrid)",Hybrid,75,,https://www.linkedin.com/jobs/view/4432580784/,LinkedIn,digital marketing coordinator; some skills overlap; coordinator level; remote Canada
16,Digital Marketing Specialist,Castle Access Panels & Forms Inc,"North York, ON M9N 3K9",Unknown,75,$25–$30 an hour,https://ca.indeed.com/viewjob?jk=cbd5ad1ba942840c,Indeed,digital marketing specialist; some skills overlap; specialist fits 5+ yrs; Ontario location
17,Digital Marketing Specialist,Upgreen,"London, ON",Unknown,75,$20–$25 an hour,https://ca.indeed.com/viewjob?jk=8e35de56ac82c1b8,Indeed,digital marketing specialist; some skills overlap; specialist fits 5+ yrs; Ontario location
18,Digital Marketing & Content Creator,Popular Car Wash,"Etobicoke, ON M9C 1C2",Unknown,74,$20–$25 an hour,https://ca.indeed.com/viewjob?jk=7f4c0bccf0ed6f48,Indeed,digital marketing + content; good skills overlap; mid-level; Ontario location
19,Digital Marketing Coordinator (The Salvation Army Thrift Stores),The Salvation Army in Canada,"Toronto, ON (Hybrid)",Hybrid,72,,https://www.linkedin.com/jobs/view/4432577887/,LinkedIn,digital marketing coordinator; some skills overlap; coordinator level; Ontario location
20,Digital Marketing Coordinator,Optimum HR Solutions,"Uxbridge, ON",Unknown,72,"$50,000–$65,000 a year",https://ca.indeed.com/viewjob?jk=5ca5241fb366b1d6,Indeed,digital marketing coordinator; some skills overlap; coordinator level; Ontario location
21,Content Marketing Coordinator,Create Music Group,"Vancouver, BC",Unknown,70,"$60,000–$65,000 a year",https://ca.indeed.com/viewjob?jk=78845e83b42886c2,Indeed,marketing coordinator; some skills overlap; coordinator level; Vancouver/BC location
22,Content Marketing Coordinator,Create Music Group,Remote,Remote,70,"$60,000–$65,000 a year",https://ca.indeed.com/viewjob?jk=21e89deb21954268,Indeed,marketing coordinator; some skills overlap; coordinator level; remote
23,Content Strategist (Internal/External),Cambrian College,"Greater Sudbury, ON P3A 3V8",Unknown,70,$37.34 an hour,https://ca.indeed.com/viewjob?jk=410eb381462d82b0,Indeed,content strategist; some skills overlap; specialist fits 5+ yrs; Ontario location
24,Marketing Campaigns Manager,Moneris Solutions,"Toronto, ON",Unknown,70,"$83,000–$113,000 a year",https://ca.indeed.com/viewjob?jk=d073766abbfa81d6,Indeed,marketing role; good skills overlap; mid-level; Ontario location
25,CRM Marketing Coordinator,Canaan Inc.,"Markham, ON",Unknown,69,,https://ca.indeed.com/viewjob?jk=2c082ec3f88dccbe,Indeed,marketing coordinator; some skills overlap; coordinator level; Ontario location
26,CRO Specialist,KOHO Financial,Canada,Unknown,68,"$60,000–$75,000 a year",https://ca.indeed.com/viewjob?jk=cfc83fd0624a936d,Indeed,CRO role; some skills overlap; specialist fits 5+ yrs; remote Canada
27,"Analyst, Campaign Manager",BMO Financial Group,"Toronto, ON",Unknown,67,"$56,000–$103,500 a year",https://ca.indeed.com/viewjob?jk=9599e048a4e0f262,Indeed,campaign manager; good skills overlap; analyst level; Ontario location
28,Sr Marketing Coordinator,CBRE,"Mississauga, ON",Unknown,66,"$65,000–$70,000 a year",https://ca.indeed.com/viewjob?jk=d5fe2b98a34dcac5,Indeed,marketing coordinator; limited skills overlap; senior level fits 5+ yrs; Ontario location
29,Marketing Specialist (Remote),Hire Feed,NAMER (Remote),Remote,65,,https://www.linkedin.com/jobs/view/4432825535/,LinkedIn,marketing specialist; limited skills overlap; specialist fits 5+ yrs; remote
30,CRM Manager - iGaming,PURE Canadian Gaming,Canada (Remote),Remote,65,,https://www.linkedin.com/jobs/view/4431279073/,LinkedIn,CRM role; some skills overlap; mid-level; remote Canada
31,Marketing Specialist,Family Enterprise Canada,Remote,Remote,65,"$65,000–$70,000 a year",https://ca.indeed.com/viewjob?jk=2cec5fcc13b257ad,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; remote
32,Social Media Marketing,Genesis Furniture,"Markham, ON",Unknown,65,,https://ca.indeed.com/viewjob?jk=477c416cbd150615,Indeed,social media marketing; some skills overlap; mid-level; Ontario location
33,Marketing Specialist,Often replies in 1 day,"Vancouver, BC V6C 2B5",Unknown,65,"$65,000–$85,000 a year",https://ca.indeed.com/viewjob?jk=2e1d6021b6815e5d,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; Vancouver/BC location
34,Marketing Specialist,Water Technologies,"Toronto, ON M6P 2A5",Unknown,64,,https://ca.indeed.com/viewjob?jk=7e49ca98704fcddb,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; Ontario location
35,Marketing Specialist,Often replies in 2 days,"Hamilton, ON L8P 4Z5",Unknown,64,"$82,000–$95,000 a year",https://ca.indeed.com/viewjob?jk=edbccf28c5ffda88,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; Ontario location
36,Influencer Marketing Specialist,Relay,"Toronto, ON",Unknown,64,"$90,000–$110,000 a year",https://ca.indeed.com/viewjob?jk=037c4f08510579a8,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; Ontario location
37,Marketing Specialist (Temporary),CARFAX Canada,"London, ON N5W 2T5",Unknown,64,"$60,500–$83,000 a year",https://ca.indeed.com/viewjob?jk=3a8de36a7b40b7a1,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; Ontario location
38,Marketing Specialist - Experience (12-month contract),The Cadillac Fairview Corporation Ltd,"Toronto, ON M5H 3R4",Unknown,64,"$58,194–$77,592 a year",https://ca.indeed.com/viewjob?jk=c7cc0823d1fa1432,Indeed,marketing specialist; limited skills overlap; specialist fits 5+ yrs; Ontario location
39,Social Media Community Manager,Media Profile,"Greater Toronto Area, Canada (Hybrid)",Hybrid,62,,https://www.linkedin.com/jobs/view/4431850319/,LinkedIn,social media community; some skills overlap; mid-level; remote Canada
40,Social Media Insights Analyst- Health & Pharma- Remote Ontario,ICUC,"Ontario, Canada (Remote)",Remote,62,,https://www.linkedin.com/jobs/view/4392127022/,LinkedIn,social media insights; some skills overlap; analyst level; remote Canada
41,CRM Lifecycle Executive - Canada,Entain,"Toronto, ON M5H 1B6",Unknown,62,"$80,000–$100,000 a year",https://ca.indeed.com/viewjob?jk=5db25bc97bdba371,Indeed,CRM role; some skills overlap; mid-level; Ontario location
42,Marketing Coordinator,Purebread Brands,"Vancouver, BC",Unknown,62,,https://ca.indeed.com/viewjob?jk=b51bc3aec4b805d7,Indeed,marketing coordinator; limited skills overlap; coordinator level; Vancouver/BC location
43,Marketing Coordinator,AdvancedAg Inc.,"Raymond, AB",Unknown,61,,https://ca.indeed.com/viewjob?jk=2dd41b09beb8f3cf,Indeed,marketing coordinator; limited skills overlap; coordinator level; Ontario location
44,Sales & Marketing Coordinator,Ethical Recycling,"Calgary, AB",Unknown,61,$16–$18 an hour,https://ca.indeed.com/viewjob?jk=08941bb5343e832f,Indeed,marketing coordinator; limited skills overlap; coordinator level; Alberta location
45,Marketing Coordinator,Angee Construction,"Calgary, AB T3J 5J9",Unknown,61,,https://ca.indeed.com/viewjob?jk=0bd71ab630274b9b,Indeed,marketing coordinator; limited skills overlap; coordinator level; Alberta location
46,Nordic Spa Sales & Marketing Coordinator,Often replies in 2 days,"Kananaskis, AB",Unknown,61,,https://ca.indeed.com/viewjob?jk=bd044007431e26ac,Indeed,marketing coordinator; limited skills overlap; coordinator level; Alberta location
47,Marketing Coordinator,Century Casinos Inc,"Rocky View County, AB",Unknown,61,"$45,000–$60,000 a year",https://ca.indeed.com/viewjob?jk=88091d0101387c0a,Indeed,marketing coordinator; limited skills overlap; coordinator level; Alberta location
48,Marketing Coordinator III,Aramark,"Kingston, ON",Unknown,61,"$65,000–$66,500 a year",https://ca.indeed.com/viewjob?jk=78792f9798bcfd08,Indeed,marketing coordinator; limited skills overlap; coordinator level; Ontario location
49,"Marketing Coordinator, Rewards",CAA North & East Ontario,"Ottawa, ON",Unknown,61,"$45,000–$60,000 a year",https://ca.indeed.com/viewjob?jk=1bb072f371cc9786,Indeed,marketing coordinator; limited skills overlap; coordinator level; Ontario location
50,Marketing Coordinator,COSReady Incorporated,"Toronto, ON",Unknown,61,,https://ca.indeed.com/viewjob?jk=d7589eb94086e72e,Indeed,marketing coordinator; limited skills overlap; coordinator level; Ontario location
