#,Job Title,Company,Location,Platform,Date Posted,Relevancy Score,Work Type,Link,Search Query
65,Marketing Strategy Analyst,Easily apply,"Toronto, ON",,,3,Not specified,,
66,Marketing Campaign Coordinator - North America,Movember,"Toronto, ON",,,3,Not specified,,
67,Proposal and Marketing Specialist,Easily apply,Trinity Consultants Canada,,,3,Not specified,,
68,Senior Lifecycle Marketing Manager,Phoenix,"Toronto, ON",,,3,Not specified,,
69,Senior Lifecycle Marketing Manager,,"Senior Lifecycle Marketing ManagerPhoenixToronto, ONFull-timePaid time offExtended health care",,,3,Not specified,,
70,Content & Product Marketing Manager,Easily apply,"Toronto, ON M5H 3B7",,,3,Not specified,,
71,Senior Marketing Manager,Not specified,"Toronto, ON",Indeed,Last 3 days,3,Not specified,,SEO Strategist
72,SEO Commercial Content Writer,Better Collective,"Toronto, ON (Remote)",,,3,Not specified,,
73,SEO Customer Success,GrowthX AI,NAMER (Remote),,,3,Not specified,,
74,Web Marketing Manager,StackAdapt,"Toronto, ON (Remote)",LinkedIn,Past week,3,Remote,,Content Optimization Specialist
75,Search Experience and Technical SEO Manager (Contract),OpenTable,"Toronto, ON (Hybrid)",LinkedIn,Past week,3,Hybrid,,Content Optimization Specialist
76,SEO & GEO Specialist,Keysight Technologies,"Mississauga, ON (Remote)",LinkedIn,Past week,3,Remote,,Content Optimization Specialist
77,Senior Marketing Growth Specialist,Genuine Comfort,"Markham, ON (Hybrid)",LinkedIn,Past week,3,Hybrid,,Content Optimization Specialist
78,Content Marketing Manager,Workleap,"Toronto, ON (Remote)",LinkedIn,Past week,3,Remote,,Content Optimization Specialist
79,Growth Marketing Lead,Rokt,"Toronto, ON (On-site)",LinkedIn,Past week,3,In-person,,Content Optimization Specialist
80,"Coordinator, Brand & Social Media Marketing",Cabot,"Toronto, ON",LinkedIn,Past week,3,Not specified,,Digital Marketing Coordinator
81,"Coordinator, Global Marketing",Cabot,"Toronto, ON",LinkedIn,Past week,3,Not specified,,Digital Marketing Coordinator
82,Marketing Analyst,TekStaff IT Solutions,"Greater Toronto Area, Canada (Hybrid)",LinkedIn,Past week,3,Hybrid,,Digital Marketing Coordinator
83,Marketing and Communications Specialist,PheedLoop,"Toronto, ON",LinkedIn,Past week,3,Not specified,,Digital Marketing Coordinator
84,Marketing Assistant,MDPI,"Toronto, ON",LinkedIn,Past week,3,Not specified,,Digital Marketing Coordinator
85,"Assistant Marketing Manager, Customer Execution",Revlon,"Mississauga, ON (Hybrid)",LinkedIn,Past week,3,Hybrid,,Organic Growth Specialist
86,Marketing Strategy Analyst,TouchBistro,"Toronto, ON (Hybrid)",,,3,Not specified,,
87,Marketing Campaign Coordinator - Summer Job,Nisa Foundation,Canada (Remote),,,3,Not specified,,
88,Marketing Consultant (Independent Contractor) - AI Trainer,DataAnnotation,Canada (Remote),,,3,Not specified,,
89,Marketing Consultant Expert - Remote,YO IT Consulting,NAMER (Remote),,,3,Not specified,,
90,Junior Marketing Consultant,Akkodis,"Mississauga, ON (Hybrid)",,,3,Not specified,,
91,Administrative & Marketing Consultant,Free and Rising,"Markham, ON (Remote)",,,3,Not specified,,
92,SEO Account Manager,VixelStudio,Canada (Remote),,,3,Not specified,,
93,"Manager, Marketing & Communications",Pancreatic Cancer North America,"Toronto, ON (On-site)",,,3,Not specified,,
94,Freelance Marketing - Social Media,Twine,Canada (Remote),,,3,Not specified,,
95,E-commerce Retention Marketing Strategist,Dispatch,Canada (Remote),,,3,Not specified,,
96,Digital & Field Events Marketing Manager,Wing Assistant,Canada (Remote),,,3,Not specified,,
97,Marketing Manager (Remote),Hire Feed,Canada (Remote),,,3,Not specified,,
98,Marketing Manager,Paramount,"Toronto, ON (Hybrid)",,,3,Not specified,,
99,Senior SEO and GEO Specialist,SOTI,"Mississauga, ON (Hybrid)",LinkedIn,Past week,3,Hybrid,,SEO Specialist
100,Organic Growth Marketing Manager,Phoenix,"Toronto, ON (On-site)",LinkedIn,Past week,3,In-person,,SEO Specialist
101,SEO & Organic Growth Lead,HeyMilo AI,"Toronto, ON (Hybrid)",LinkedIn,Past week,3,Hybrid,,SEO Specialist
102,SEO & AEO Product Manager,eBay,"Toronto, ON (Hybrid)",LinkedIn,Past week,3,Hybrid,,SEO Specialist
103,Remote Content Marketing Strategist - Eastern Canada,Brafton Inc.,"Toronto, ON (Remote)",LinkedIn,Past week,3,Remote,,SEO Specialist
104,AEO and GEO Marketing Manager,Stripe,"Toronto, ON",LinkedIn,Past week,3,Not specified,,SEO Strategist
105,"Director, Content Marketing",Viral Nation,"Toronto, ON (Remote)",LinkedIn,Past week,3,Remote,,SEO Strategist
106,"Marketing Manager K-12 (OTE $60,000/year USD), @Sparkrock",Sparkrock,"Mississauga, ON (Remote)",LinkedIn,Past week,3,Remote,,SEO Strategist
107,Content Specialist,CaseWare International Inc.,"Toronto, ON",Eluta.ca,Not specified,2,Not specified,,Content Optimization Specialist
108,Customer First GEO Content Specialist,"Okta, Inc.","Toronto, ON",Eluta.ca,Not specified,2,Not specified,,Content Optimization Specialist
109,"GEO Brand Partnerships and Content Distribution, Specialist (Temporary 12 months)",Intact Financial Corporation,"Toronto, ON",Eluta.ca,Not specified,2,Not specified,,Content Optimization Specialist
110,"Senior Communications Specialist, Social Media and Digital Content",Centre for Study of Insurance Operations / CSIO,"Toronto, ON",Eluta.ca,Not specified,2,Not specified,,Content Optimization Specialist
111,Content Manager,Butterfield & Robinson Inc.,"Toronto, ON",Eluta.ca,Not specified,2,Not specified,,Content Optimization Specialist
112,Regional Marketing Coordinator,InterRent REIT,"Oakville, ON",Eluta.ca,Not specified,2,Not specified,,Digital Marketing Coordinator
113,Communications and Marketing Coordinator,Grandview Kids,"Ajax, ON",Eluta.ca,Not specified,2,Not specified,,Digital Marketing Coordinator
114,Regional Marketing Coordinator,CLV Group Inc.,"Oakville, ON",Eluta.ca,Not specified,2,Not specified,,Digital Marketing Coordinator
115,Cloud AI Digital Solution Area Specialist,Microsoft Canada Inc.,"Toronto, ON",Eluta.ca,Not specified,2,Not specified,,Digital Marketing Specialist
116,Brand Marketing Specialist,Kia Canada Inc.,"Mississauga, ON",Eluta.ca,Not specified,2,Not specified,,Digital Marketing Specialist
117,"Digital Marketing Specialist, Organic",Team Town Sports,"Vaughan, ON",Eluta.ca,Not specified,2,Not specified,,Organic Growth Specialist
118,"Digital Marketing Specialist, Organic",Sporting Life Inc.,"Vaughan, ON",Eluta.ca,Not specified,2,Not specified,,Organic Growth Specialist
119,"Digital Marketing Specialist, Organic",Golf Town Limited Canada,"Vaughan, ON",Eluta.ca,Not specified,2,Not specified,,Organic Growth Specialist
120,Marketing Coordinator,Red Apple Stores ULC,"Mississauga, ON",Eluta.ca,Not specified,2,Not specified,,SEO Coordinator
121,Marketing Coordinator,Bargain! Shop Holdings Inc.,"Mississauga, ON",Eluta.ca,Not specified,2,Not specified,,SEO Coordinator
122,Digital Media Coordinator,DAC Group,"Toronto, ON",Eluta.ca,Not specified,2,Not specified,,SEO Coordinator
123,Digital Marketing Coordinator,Xi Digital Corp,"Concord, ON",Indeed,Last 3 days,2,Not specified,,Content Optimization Specialist
124,Marketing Coordinator,Express Employment Professionals,"Etobicoke, ON",Indeed,Last 3 days,2,Not specified,,Content Optimization Specialist
125,Retention Specialist,Not specified,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Coordinator
126,Content Creator/Digital Media Specialist,Toyota/Lexus On The Park,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Coordinator
127,Marketer,Not specified,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Coordinator
128,Marketing Coordinator,Unipathway Lab,"Mississauga, ON",Indeed,Last 3 days,2,Hybrid,https://ca.indeed.com/viewjob?jk=4c129afaa781fba1,Digital Marketing Coordinator
129,Corporate Partnerships Coordinator,Not specified,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Coordinator
130,Lifecycle & Trials Specialist,Not specified,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Coordinator
131,Head of Growth,Neil Executive Search,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Specialist
132,Senior Experience Strategist,Not specified,"Toronto, ON",Indeed,Last 3 days,2,Not specified,,Digital Marketing Specialist
133,Customer First GEO Content Specialist,Okta,"Toronto, ON",,,2,Not specified,,
134,Senior Marketing Specialist - Contract (Hamilton),Easily apply,Morison Insurance Brokers Inc.,,,2,Not specified,,
135,Content Marketing Specialist,,,,,2,Not specified,,
136,Performance Marketing Specialist,Easily apply,"Calgary, AB T2H 2G4",,,2,Not specified,,
137,Ecommerce Marketing Specialist – Brand & Content,Easily apply,"Burlington, ON",,,2,Not specified,,
138,Ecommerce Marketing Specialist – Brand & Content,,,,,2,Not specified,,
139,Senior Creative Strategist – Paid Social / Online Video (m/f/d),autoTRADER.ca,"Toronto, ON",,,2,Not specified,,
140,Online Marketing Specialist (18-Month Contract),Full-time,BCAA,,,2,Not specified,,
141,Performance Marketing Specialist,,,,,2,Not specified,,
142,"Senior Associate, Reporting & Visualization",WPP Media,"Toronto, ON",,,2,Not specified,,
143,Marketing Coordinator,Easily apply,"Mississauga, ON",,,2,Not specified,,
144,Digital Marketing Coordinator,Easily apply,"Concord, ON",,,2,Not specified,,
145,Operations and Marketing Coordinator,Easily apply,"North York, ON M2J 5C2",,,2,Not specified,,
146,Admissions and Marketing Coordinator,Easily apply,"Scarborough, ON M1V 4Y3",,,2,Not specified,,
147,Business Development & Marketing Coordinator,Easily apply,Actlabs,,,2,Not specified,,
148,Junior Marketing Coordinator,Easily apply,"Okotoks, AB",,,2,Not specified,,
149,SharePoint Technical Lead,Easily apply,"Toronto, ON M5B 2L7",,,2,Not specified,,
150,SENIOR SAGE INTACCT CONSULTANT,Easily apply,Toronto Regional Real Estate Board,,,2,Not specified,,
151,Telecommunication Analyst,Canaccord Genuity Corp.,"Toronto, ON",,,2,Not specified,,
152,Service Asset & Configuration Management (SACM) Analyst,Easily apply,"Toronto, ON M5V 2X4",,,2,Not specified,,
153,ThreatLocker Specialist,Easily apply,"Toronto, ON M5H 3W4",,,2,Not specified,,
154,Sr. HR Workday Analyst,Teranet,"Toronto, ON M5J 2M2",,,2,Not specified,,
155,Digital Marketing Manager,Easily apply,"Ottawa, ON",,,2,Not specified,,
156,"Marketing Specialist, Integrated Marketing",Easily apply,Armstrong Fluid Technology,,,2,Not specified,,
157,ACCOUNT MANAGER - DIGITAL MARKETING AGENCY,Easily apply,"Mississauga, ON L5C 4R3",,,2,Not specified,,
158,Digital Marketing Lead,Easily apply,David Suzuki Foundation,,,2,Not specified,,
159,"Senior Specialist, Retail Media Strategy & Activation",Kepler Group,"Toronto, ON",,,2,Not specified,,
160,Conversion Automation Lead,tbk,"London, ON (Hybrid)",,,2,Not specified,,
161,Content Specialist,Veritas Communications,"Greater Toronto Area, Canada",LinkedIn,Past week,2,Not specified,,Content Optimization Specialist
162,Content Strategist (Remote Canada) - Future Opening,Directive,"Toronto, ON (Remote)",LinkedIn,Past week,2,Remote,,Content Optimization Specialist
163,Content Specialist & Copywriter (Hybrid),Nitro Software,"Toronto, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,Content Optimization Specialist
164,Senior Business Content Specialist,Richardson Wealth,"Toronto, ON",LinkedIn,Past week,2,Not specified,,Content Optimization Specialist
165,Senior Communications & Content Specialist,Voices,"Toronto, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,Content Optimization Specialist
166,"Senior Content Strategist, Enterprise",Clio,"Toronto, ON",LinkedIn,Past week,2,Not specified,,Content Optimization Specialist
167,"Communications Specialist, Social Media and Content",Sinai Health,"Greater Toronto Area, Canada",LinkedIn,Past week,2,Not specified,,Content Optimization Specialist
168,Sales Content Specialist - Richmond Hill (Hybrid),Staples Canada,"Richmond Hill, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,Content Optimization Specialist
169,Digital Operations Coordinator,FanDuel,"Toronto, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,Digital Marketing Coordinator
170,Marketing Coordinator,TalentFinity Recruitment,"Mississauga, ON (On-site)",LinkedIn,Past week,2,In-person,,Digital Marketing Coordinator
171,Marketing Specialist,Sailun Tire Americas,"Mississauga, ON (On-site)",LinkedIn,Past week,2,In-person,,Digital Marketing Coordinator
172,Growth Marketer 🇨🇦,Alan,"Toronto, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,Organic Growth Specialist
173,Growth Marketer (AI-Native),Alternative Payments,"Toronto, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,Organic Growth Specialist
174,"Digital Account Manager, Amazon",Coty,"Toronto, ON",LinkedIn,Past week,2,Not specified,,Organic Growth Specialist
175,Lead Product & Lifecycle Growth Marketer,"Scribd, Inc.","Toronto, ON",LinkedIn,Past week,2,Not specified,,Organic Growth Specialist
176,CRM Analyst - Reactivations - Remote Work,BairesDev,"Toronto, ON (Remote)",,,2,Not specified,,
177,Staff Market Researcher,Jobgether,Canada (Remote),,,2,Not specified,,
178,Account Coordinator,JAM CRM,"Toronto, ON (Hybrid)",,,2,Not specified,,
179,Social Media Coordinator & Content Creator,The Concept Agency,"Greater Toronto Area, Canada (Remote)",,,2,Not specified,,
180,Marketing Coordinator,Foodtastic,"Mississauga, ON (On-site)",,,2,Not specified,,
181,Digital Media Coordinator,DAC,"Toronto, ON (On-site)",,,2,Not specified,,
182,Content Specialist,TekStaff IT Solutions,"Toronto, ON (Hybrid)",,,2,Not specified,,
183,Digital Copywriter,IFG - International Financial Group,"Toronto, ON (Hybrid)",,,2,Not specified,,
184,Link Building Specialist,Jobgether,Canada (Remote),,,2,Not specified,,
185,Public Relations Senior Account Executive (Canada),,Canada (Remote),,,2,Not specified,,
186,Communications & Social Media Specialist (Fixed Term Mat Leave Coverage),WCG Services,"Vancouver, BC (Remote)",,,2,Not specified,,
187,Social Media Manager,Paramount,"Toronto, ON (Hybrid)",,,2,Not specified,,
188,Paid Media Manager,TechWyse Internet Marketing,"Toronto, ON (On-site)",,,2,Not specified,,
189,Digital PR Specialist,Kingmaker Search,Canada (Remote),,,2,Not specified,,
190,Web Browsing Analyst (Remote),Quik Hire Staffing,Canada (Remote),,,2,Not specified,,
191,Growth Lead,Jack,Canada (Remote),,,2,Not specified,,
192,Blog Writer (Remote),Hire Feed,Canada (Remote),,,2,Not specified,,
193,Intermediate Ecommerce and Marketing Specialist,Polaron Energy,"North York, ON",LinkedIn,Past week,2,Not specified,,SEO Coordinator
194,"Senior Advisor, Digital Experience",Greater Toronto Airports Authority,"Toronto, ON (Hybrid)",LinkedIn,Past week,2,Hybrid,,SEO Coordinator
195,Sr. Manager Brand Marketing Creative,Chartwell Retirement Residences,"Mississauga, ON",Eluta.ca,Not specified,1,Not specified,,Content Optimization Specialist
196,"Project Coordinator, Sales & Marketing (GTA)",Caivan Communities,"Oakville, ON",Eluta.ca,Not specified,1,Not specified,,Digital Marketing Coordinator
197,"Senior Specialist, Marketing Technology, Global Channel",SOTI Inc.,"Mississauga, ON",Eluta.ca,Not specified,1,Not specified,,Digital Marketing Specialist
198,Senior SEO and GEO Specialist,SOTI Inc.,"Mississauga, ON",Eluta.ca,Not specified,1,Not specified,,Organic Growth Specialist
199,"Manager, Marketing & Development Operations",Children Believe,"Markham, ON",Eluta.ca,Not specified,1,Not specified,,SEO Coordinator
200,Search Discoverability Specialist (SEO/ AEO),nvision Solutions Inc.,"Markham, ON",Eluta.ca,Not specified,1,Not specified,,SEO Specialist
201,Revenue Marketing Strategist,nvision Solutions Inc.,"Markham, ON",Eluta.ca,Not specified,1,Not specified,,SEO Strategist
202,Marketing & eCommerce Specialist,Homevision Technology Inc.,"Markham, ON",Indeed,Last 3 days,1,Not specified,,Content Optimization Specialist
203,Digital Media Coordinator,Easily apply,DAC Group / Canada Ltd.,,,1,Not specified,,
204,"Project Manager, Marketing & Branding",Easily apply,"North York, ON M3J 3G2",,,1,Not specified,,
205,Brand & Marketing Strategist,Permanent,YW Calgary,,,1,Not specified,,
206,Marketing Strategy Analyst,,,,,1,Not specified,,
207,HubSpot Strategist,Easily apply,Canada,,,1,Not specified,,
208,Senior GRC Consultant,Easily apply,Canada,,,1,Not specified,,
209,"Marketing Manager – Social, Influencer & PR",Easily apply,"Markham, ON L3R 2S3",,,1,Not specified,,
210,Marketing & Communication Lead,Easily apply,"Edmonton, AB",,,1,Not specified,,
211,Field Sales & Marketing Representative,Easily apply,"Medicine Hat, AB",,,1,Not specified,,
212,Marketing Manager,Easily apply,"Vancouver, BC V5M 3T7",,,1,Not specified,,
213,"Senior Marketing Manager, Integrated Campaigns",Easily apply,"Richmond, BC V6V 2J1",,,1,Not specified,,
214,Content & Product Marketing Lead,Easily apply,"Burnaby, BC",,,1,Not specified,,
215,Social Media Marketing,Easily apply,"Vancouver, BC",,,1,Not specified,,
216,"Senior Manager, Marketing Operations",Easily apply,Charitable Impact,,,1,Not specified,,
217,Senior Growth and Partner Marketing Lead,Easily apply,"Vancouver, BC",,,1,Not specified,,
218,Marketing Assistant,Easily apply,"Concord, ON L4K 1Z8",,,1,Not specified,,
219,Sales and Marketing Associate,The Real Estate Empire,"Etobicoke, ON",Indeed,Last 3 days,1,Not specified,,SEO Coordinator
220,"Senior Specialist, Digital Performance Marketing",goeasy Ltd.,"Mississauga, ON (On-site)",LinkedIn,Past week,1,In-person,,Digital Marketing Specialist
221,Digital Content Coordinator,Canada's Wonderland,"Vaughan, ON",Eluta.ca,Not specified,0,Not specified,,Digital Marketing Coordinator
222,Digital Imagery Coordinator,"Sunpan Trading & Importing, Inc.","Scarborough, ON",Eluta.ca,Not specified,0,Not specified,,Digital Marketing Coordinator
223,Digital Advertising Specialist,Pleasant Solutions Inc.,"Mississauga, ON",Eluta.ca,Not specified,0,Not specified,,SEO Specialist
224,E-Commerce Product Listing Specialist,Global Trade & Distribution Inc.,"Concord, ON",Indeed,Last 3 days,0,Not specified,,Content Optimization Specialist
225,Social Media Content Specialist,Garage Living,"Vaughan, ON",Indeed,Last 3 days,0,Not specified,,Digital Marketing Coordinator
226,Amazon Marketplace Specialist,Fitness Avenue,"North York, ON",Indeed,Last 3 days,0,Not specified,,Digital Marketing Coordinator
227,Executive Assistant Office of the CEO,Confidential,"Markham, ON",Indeed,Last 3 days,0,Not specified,,Digital Marketing Coordinator
228,Digital Experience Specialist,Easily apply,"Niagara Falls, ON",,,0,Not specified,,
229,Paid Ads Specialist,Easily apply,"Ottawa, ON K1S 5J3",,,0,Not specified,,
230,Conversion Rate Optimization Manager,Easily apply,LabX Media Group,,,0,Not specified,,
231,Senior Paid Media Strategist,Easily apply,Konstruct Digital,,,0,Not specified,,
232,Future Leaders Program - Smoke Free Products,Full-time,Philip Morris International,,,0,Not specified,,
233,Future Leaders Program - Smoke Free Products,,,,,0,Not specified,,
234,Digital Media Coordinator,,,,,0,Not specified,,
235,Client Strategy Lead,Easily apply,Sparks Marketing Communications,,,0,Not specified,,
236,Content Marketer,Easily apply,Global Spatial Technology Solutions,,,0,Not specified,,
237,"Account Coordinator, Web Services",Easily apply,"Ottawa, ON K1S 5J3",,,0,Not specified,,
238,Digital Communications Coordinator,Easily apply,"Edmonton, AB T5G 0X5",,,0,Not specified,,
