Rank,Title,Company,Location,Work_Type,Distance_km,Commute_Estimate,Relevancy_Score,Industrial_Relevance,Salary,URL,Platform,Reasoning
11,"Senior Digital Marketing & AI Integration Specialist (English Speaking) at Akam Ata Co. | IT & Digital Business Solutions — Greater Toronto Area, Canada Jobs",,Toronto,Unknown,,,70,None detected,,https://ca.linkedin.com/jobs/view/senior-digital-marketing-ai-integration-specialist-english-speaking-at-akam-ata-co-it-digital-business-solutions-4462800121,,Title:30 Skills:10 Exp:15 Loc:15
12,SEO Intern - German Native,,Toronto,Unknown,,,70,None detected,,https://www.linkedin.com/jobs/view/seo-intern-german-native-at-motaword-4234996211,,Title:30 Skills:15 Exp:10 Loc:15
13,"Senior Specialist, Regional Marketing (Paid Digital Marketing) (m/w/d)- German Fluent - Fixed Term",,Toronto,Unknown,,,70,Automotive,,https://bg.linkedin.com/jobs/view/senior-specialist-regional-marketing-paid-digital-marketing-m-w-d-german-fluent-fixed-term-at-concentrix-3925229387,,Title:30 Skills:10 Exp:15 Loc:15
14,SEO & Content Marketing Specialist,,Vancouver,Unknown,,,68,None detected,,https://sg.linkedin.com/jobs/view/seo-content-marketing-specialist-at-spring-hope-creative-4222801174,,Title:30 Skills:15 Exp:15 Loc:8
15,Expans Digital recherche son ou sa prochain(e) expert en SEO - Freelance,,Toronto,Unknown,,,68,None detected,,https://be.linkedin.com/jobs/view/expans-digital-recherche-son-ou-sa-prochain-e-expert-en-seo-freelance-at-expans-digital-4123297991,,Title:28 Skills:15 Exp:10 Loc:15
16,Digital Marketing Consultant,,Toronto,Unknown,,,67,Automotive,,https://ca.linkedin.com/jobs/view/digital-marketing-consultant-at-autotrader-ca-4408906198,,Title:30 Skills:10 Exp:12 Loc:15
17,Performance Marketing Specialist,Phoenix,"Toronto, ON",Unknown,,,62,None detected,"$75,000–$90,000 a year",https://ca.indeed.com/viewjob?jk=59d6b822094c3f26,,Title:30 Skills:0 Exp:15 Loc:15
18,Digital Media Specialist,DAC Group / Canada Ltd.,"Toronto, ON",Unknown,,,62,None detected,"$55,000–$75,000 a year",https://ca.indeed.com/viewjob?jk=fe116fea0e9ae088,,Title:30 Skills:0 Exp:15 Loc:15
19,E-Commerce Specialist — Part-Time,Goody Day,"Richmond Hill, ON",Unknown,,,62,E-commerce/Retail,$20–$30 an hour,https://ca.indeed.com/viewjob?jk=21dc03256659fbed,,Title:30 Skills:0 Exp:15 Loc:15
20,CRM and Automation Manager,,Toronto,Unknown,,,62,Automotive,,https://rs.linkedin.com/jobs/view/crm-and-automation-manager-at-ericsson-4380452849,,Title:25 Skills:10 Exp:12 Loc:15
21,Digital Search Engine Optimisation Specialist,,Toronto,Unknown,,,60,None detected,,https://nz.linkedin.com/jobs/view/digital-search-engine-optimisation-specialist-at-university-of-canterbury-4206288448,,Title:30 Skills:0 Exp:15 Loc:15
22,Enterprise Search Specialist,,Toronto,Unknown,,,60,B2B Tech,,https://ca.linkedin.com/jobs/view/enterprise-search-specialist-at-sobeys-4192990875,,Title:30 Skills:0 Exp:15 Loc:15
23,Search Engine Optimisation Specialist,,Toronto,Unknown,,,60,None detected,,https://au.linkedin.com/jobs/view/search-engine-optimisation-specialist-at-the-university-of-queensland-4429794530,,Title:30 Skills:0 Exp:15 Loc:15
24,Performance Marketing Strategist,,Toronto,Unknown,,,60,None detected,,https://in.linkedin.com/jobs/view/performance-marketing-strategist-at-uplers-4206506303,,Title:30 Skills:0 Exp:15 Loc:15
25,Ecommerce Specialist,,Toronto,Unknown,,,60,"E-commerce/Retail, Automotive",,https://www.linkedin.com/jobs/view/ecommerce-specialist-at-simon-schuster-4219183933,,Title:30 Skills:0 Exp:15 Loc:15
26,PPC Specialist,,Toronto,Unknown,,,60,None detected,,https://bg.linkedin.com/jobs/view/ppc-specialist-at-8888-bg-4105397290,,Title:30 Skills:0 Exp:15 Loc:15
27,WordPress Developer,,Toronto,Unknown,,,60,None detected,,https://www.linkedin.com/jobs/view/wordpress-developer-at-fetchjobs-co-4431870290,,Title:30 Skills:5 Exp:10 Loc:15
28,ASO Specialist San Francisco,,Toronto,Unknown,,,60,None detected,,https://www.linkedin.com/jobs/view/aso-specialist-san-francisco-at-air-apps-4431086712,,Title:30 Skills:0 Exp:15 Loc:15
29,WordPress Developer,,Toronto,Unknown,,,60,B2B Tech,,https://www.linkedin.com/jobs/view/wordpress-developer-at-agilegrid-solutions-4433324305,,Title:30 Skills:5 Exp:10 Loc:15
30,Web Scraping Specialist,,Toronto,Unknown,,,60,None detected,,https://www.linkedin.com/jobs/view/web-scraping-specialist-at-mlabs-4433833064,,Title:30 Skills:0 Exp:15 Loc:15
31,Digital Marketing Specialist,,Toronto,Unknown,,,60,None detected,,https://ca.linkedin.com/jobs/view/digital-marketing-specialist-at-fasken-4439442969,,Title:20 Skills:10 Exp:15 Loc:15
32,Public Sector Growth & Digital Marketing Specialist,,Toronto,Unknown,,,60,None detected,,https://ca.linkedin.com/jobs/view/public-sector-growth-digital-marketing-specialist-at-deloitte-4430456639,,Title:20 Skills:10 Exp:15 Loc:15
33,"Digital Marketing Specialist at Proax Technologies Ltd. — Mississauga, Ontario, Canada Jobs",,Toronto,Unknown,,,60,None detected,,https://ca.linkedin.com/jobs/view/digital-marketing-specialist-at-proax-technologies-ltd-4460115991,,Title:20 Skills:10 Exp:15 Loc:15
34,Senior Consultant Digital Marketing Strategy & Analytics (Future Opportunity),,Toronto,Unknown,,,60,None detected,,https://ca.linkedin.com/jobs/view/senior-consultant-digital-marketing-strategy-analytics-future-opportunity-at-deloitte-4458561087,,Title:20 Skills:10 Exp:15 Loc:15
35,Digital Marketing Specialist – Growth-Focused Role,,Toronto,Unknown,,,60,None detected,,https://ca.linkedin.com/jobs/view/digital-marketing-specialist-%E2%80%93-growth-focused-role-at-best-of-life-4219505619,,Title:20 Skills:10 Exp:15 Loc:15
36,Senior Digital Marketing Strategist -Startups/SMB (Remote US),,Toronto,Unknown,,,60,None detected,,https://www.linkedin.com/jobs/view/senior-digital-marketing-strategist-startups-smb-remote-us-at-directive-4432893385,,Title:20 Skills:10 Exp:15 Loc:15
37,"Director, Digital Marketing",,Toronto,Unknown,,,60,None detected,,https://www.linkedin.com/jobs/view/director-digital-marketing-at-universal-music-group-4432840157,,Title:20 Skills:10 Exp:15 Loc:15
38,"Digital Product Leader, Data Science",,Toronto,Unknown,,,60,None detected,,https://www.linkedin.com/jobs/view/digital-product-leader-data-science-at-culture-biosciences-4177395397,,Title:30 Skills:0 Exp:15 Loc:15
39,"Manager, SEM (12-month contract)",Rakuten Kobo,"Toronto, ON",Unknown,,,59,None detected,,https://ca.indeed.com/viewjob?jk=4a9762630fea47c4,,Title:30 Skills:0 Exp:12 Loc:15
40,"Manager, SEM (12-month contract)",Rakuten Global,"Toronto, ON",Unknown,,,59,None detected,,https://ca.indeed.com/viewjob?jk=0e43cff2da6bd86d,,Title:30 Skills:0 Exp:12 Loc:15
41,Waste Regulation (Hazardous Waste) Senior Advisor - 30966,,Toronto,Unknown,,,58,Agency,,https://uk.linkedin.com/jobs/view/waste-regulation-hazardous-waste-senior-advisor-30966-at-environment-agency-4238036557,,Title:28 Skills:0 Exp:15 Loc:15
42,Hostinger zoekt een Marketing Analytics Lead | Based in Europe in Amsterdam,,Toronto,Unknown,,,58,None detected,,https://nl.linkedin.com/jobs/view/marketing-analytics-lead-based-in-europe-at-hostinger-4411626658,,Title:28 Skills:0 Exp:15 Loc:15
43,"Digital Marketing Coordinator at CI Financial — Toronto, Ontario, Canada Jobs",,Toronto,Unknown,,,57,Insurance/Finance,,https://ca.linkedin.com/jobs/view/digital-marketing-coordinator-at-ci-financial-4454443127,,Title:20 Skills:10 Exp:12 Loc:15
44,Associate Digital Marketing Manager,,Toronto,Unknown,,,57,None detected,,https://ca.linkedin.com/jobs/view/associate-digital-marketing-manager-at-picton-mahoney-asset-management-4235893918,,Title:20 Skills:10 Exp:12 Loc:15
45,eCommerce Optimization Specialist,,Ontario,Unknown,,,55,E-commerce/Retail,,https://www.linkedin.com/jobs/view/ecommerce-optimization-specialist-at-golden-pet-brands-4432042748,,Title:30 Skills:0 Exp:15 Loc:10
46,Senior Search Engine Marketing (SEM) Analyst,,Toronto,Unknown,,,55,None detected,,https://uk.linkedin.com/jobs/view/senior-search-engine-marketing-sem-analyst-at-expedia-group-4169673968,,Title:25 Skills:0 Exp:15 Loc:15
47,Digital Risk Programs Leader,,Toronto,Unknown,,,55,None detected,,https://www.linkedin.com/jobs/view/digital-risk-programs-leader-at-regions-bank-4248314784,,Title:25 Skills:0 Exp:15 Loc:15
48,Agribusiness Consultant[1084548],,Toronto,Unknown,,,55,Automotive,,https://uk.linkedin.com/jobs/view/agribusiness-consultant-1084548-at-adas-4230225296,,Title:28 Skills:0 Exp:12 Loc:15
49,Avolta zoekt een Junior Digital Project Manager – F&B Platforms in Amsterdam,,Toronto,Unknown,,,55,None detected,,https://nl.linkedin.com/jobs/view/junior-digital-project-manager-%E2%80%93-f-b-platforms-at-avolta-4432566478,,Title:28 Skills:0 Exp:12 Loc:15
50,Nautical Consultant,,Toronto,Unknown,,,55,None detected,,https://nl.linkedin.com/jobs/view/nautical-consultant-at-haskoning-4232570428,,Title:28 Skills:0 Exp:12 Loc:15
